,,,,,,,,,,,<10%,10-15%,15-20%,20-25%,25-30%,30-35%,35-40%,40-50%,>50%,Not Computed
10743,12864,13364,12509,11489,11010,10461,11145,14307,9164,,32734,30896,28705,25320,23532,22315,20758,22288,29531,20414
21991,18032,15341,12811,12043,11305,10297,11143,15224,11250,,,,,,,,,,,
32734,30896,28705,25320,23532,22315,20758,22288,29531,20414,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Property Taxes on Median Valued Home for Largest City in Each State (2015),,,,,,,,,,,,,,,,,,,,
City,"Bridgeport, CT","Detroit, MI","Aurora, IL","Neward, NJ","Milwaukee, WI",National Average,,,,,,,,,,,,,,
Effective Tax Rate,3.88,3.81,3.72,3.05,2.68,1.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,<10%,10-15%,15-20%,20-25%,25-30%,30-35%,35-40%,40-50%,>50%,Not Computed
,,,,,,,,,,,11335,13841,15736,16827,16983,15853,14680,16572,34475,20541
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,AH6FM001:    Total,50071,,Housing units with a mortgage,,,,,,,,,,,,,,,,
,Housing units with a mortgage,30523,,Total,30523,,,,,,,,,,,,,,,
,Housing units with a mortgage: Less than 10.0 percent,10743,,Less than 10.0 percent,10743,,,,,,,,,,,,,,,
,Housing units with a mortgage: 10.0 to 14.9 percent,12864,,10.0 to 14.9 percent,12864,,,,,,,,,,,,,,,
,Housing units with a mortgage: 15.0 to 19.9 percent,13364,,15.0 to 19.9 percent,13364,,,,,,,,,,,,,,,
,Housing units with a mortgage: 20.0 to 24.9 percent,12509,,20.0 to 24.9 percent,12509,,,,,,,,,,,,,,,
,Housing units with a mortgage: 25.0 to 29.9 percent,11489,,25.0 to 29.9 percent,11489,,,,,,,,,,,,,,,
,Housing units with a mortgage: 30.0 to 34.9 percent,11010,,30.0 to 34.9 percent,11010,,,,,,,,,,,,,,,
,Housing units with a mortgage: 35.0 to 39.9 percent,10461,,35.0 to 39.9 percent,10461,,,,,,,,,,,,,,,
,Housing units with a mortgage: 40.0 to 49.9 percent,11145,,40.0 to 49.9 percent,11145,,,,,,,,,,,,,,,
,Housing units with a mortgage: 50.0 percent or more,14307,,50.0 percent or more,14307,,,,,,,,,,,,,,,
,Housing units with a mortgage: Not computed,9164,,Not computed,9164,,,,,,,,,,,,,,,
,Housing units without a mortgage,42727,,,,,,,,,,,,,,,,,,
,Housing units without a mortgage: Less than 10.0 percent,21991,,Housing units without a mortgage,,,,,,,,,,,,,,,,
,Housing units without a mortgage: 10.0 to 14.9 percent,18032,,Total,42727,,,,,,,,,,,,,,,
,Housing units without a mortgage: 15.0 to 19.9 percent,15341,,Less than 10.0 percent,21991,,,,,,,,,,,,,,,
,Housing units without a mortgage: 20.0 to 24.9 percent,12811,,10.0 to 14.9 percent,18032,,,,,,,,,,,,,,,
,Housing units without a mortgage: 25.0 to 29.9 percent,12043,,15.0 to 19.9 percent,15341,,,,,,,,,,,,,,,
,Housing units without a mortgage: 30.0 to 34.9 percent,11305,,20.0 to 24.9 percent,12811,,,,,,,,,,,,,,,
,Housing units without a mortgage: 35.0 to 39.9 percent,10297,,25.0 to 29.9 percent,12043,,,,,,,,,,,,,,,
,Housing units without a mortgage: 40.0 to 49.9 percent,11143,,30.0 to 34.9 percent,11305,,,,,,,,,,,,,,,
,Housing units without a mortgage: 50.0 percent or more,15224,,35.0 to 39.9 percent,10297,,,,,,,,,,,,,,,
,Housing units without a mortgage: Not computed,11250,,40.0 to 49.9 percent,11143,,,,,,,,,,,,,,,
,,,,50.0 percent or more,15224,,,,,,,,,,,,,,,
,,,,Not computed,11250,,,,,,,,,,,,,,,
