FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_Leng,Shape_Area,GISJOIN_1,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,Occupancy_Status_Total,Occupancy_Status_Occupied,Occupancy_Status_Vacant,Value_Total,Value_Less_than_10000,Value_10000_to_14999,Value_15000_to_19999,Value_20000_to_24999,Value_25000_to_29999,Value_30000_to_34999,Value_35000_to_39999,Value_40000_to_49999,Value_50000_to_59999,Value_60000_to_69999,Value_70000_to_79999,Value_80000_to_89999,Value_90000_to_99999,Value_100000_to_124999,Value_125000_to_149999,Value_150000_to_174999,Value_175000_to_199999,Value_200000_to_249999,Value_250000_to_299999,Value_300000_to_399999,Value_400000_to_499999,Value_500000_to_749999,Value_750000_to_999999,Value_1000000_to_1499999,Value_1500000_to_1999999,Value_2000000_or_more,Median_Value,AH6FE001,AH6FE002,AH6FE003,AH6FE004,AH6FE005,AH6FE006,AH6FE007,AH6FE008,AH6FE009,AH6FE010,AH6FE011,AH6FE012,AH6FE013,AH6FE014,AH6FE015,AH6FE016,AH6FE017,AH6FE018,AH6FE019,AH6FE020,AH6FE021,AH6FE022,AH6FE023,AH6GE001,AH6GE002,AH6GE003,Per_Vacant,UNIQUE_ID
0,26,163,500100,1,2.62E+11,Block Group 1,G5030,S,474566,0,42.4482488,-82.9498174,G26016305001001,3266.908271,474566.0316,G26016305001001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500100,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5001, Wayne County, Michigan",714,582,132,269,19,0,19,0,14,77,53,20,11,16,0,10,12,0,0,0,0,0,13,5,0,0,0,0,0,0,35500,269,180,0,24,23,67,14,21,0,26,5,0,89,32,38,19,0,0,0,0,0,0,0,19.8,23.2,11.6,18.48739496,0
1,26,163,500100,2,2.62E+11,Block Group 2,G5030,S,290456,0,42.443593,-82.9487847,G26016305001002,2581.076257,290456.5681,G26016305001002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500100,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5001, Wayne County, Michigan",363,282,81,59,0,14,0,0,10,12,0,0,11,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,32300,59,34,0,10,12,0,12,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,12.3,17.9,0,22.31404959,1
2,26,163,500100,3,2.62E+11,Block Group 3,G5030,S,230980,0,42.4384492,-82.9535008,G26016305001003,1969.716928,230979.7104,G26016305001003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500100,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5001, Wayne County, Michigan",492,346,146,126,8,57,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,126,76,0,0,20,32,0,24,0,0,0,0,50,0,20,8,0,0,9,13,0,0,0,22.3,22.8,18.1,29.67479675,2
3,26,163,500100,4,2.62E+11,Block Group 4,G5030,S,206376,0,42.4433528,-82.9535775,G26016305001004,1831.907741,206376.088,G26016305001004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500100,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5001, Wayne County, Michigan",248,209,39,55,0,11,8,6,0,11,7,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,31100,55,25,0,0,0,11,0,0,0,0,14,0,30,0,8,0,11,11,0,0,0,0,0,24.4,50,23.2,15.72580645,3
4,26,163,500200,1,2.62E+11,Block Group 1,G5030,S,243420,0,42.4481987,-82.959887,G26016305002001,2013.766844,243418.1098,G26016305002001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500200,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5002, Wayne County, Michigan",281,219,62,136,0,0,0,12,37,0,18,13,11,23,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,40800,136,101,6,7,45,19,0,12,0,0,12,0,35,0,27,0,8,0,0,0,0,0,0,18.1,19.2,13.2,22.06405694,4
5,26,163,500200,2,2.62E+11,Block Group 2,G5030,S,243113,0,42.4445962,-82.959735,G26016305002002,2012.086224,243113.3051,G26016305002002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500200,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5002, Wayne County, Michigan",350,229,121,45,0,0,0,10,0,0,0,0,8,0,0,8,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0,45,18,0,0,0,0,10,0,0,0,8,0,27,19,0,0,0,0,0,0,8,0,0,26.8,0,10,34.57142857,5
6,26,163,500200,3,2.62E+11,Block Group 3,G5030,S,211543,0,42.4439389,-82.9676482,G26016305002003,2039.868578,211542.5115,G26016305002003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500200,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5002, Wayne County, Michigan",285,223,62,87,12,0,18,11,0,6,0,8,11,0,0,7,0,0,0,0,0,10,0,4,0,0,0,0,0,0,32100,87,24,0,0,0,10,8,6,0,0,0,0,63,49,0,3,0,7,0,0,0,4,0,10,26.3,10,21.75438596,6
7,26,163,500200,4,2.62E+11,Block Group 4,G5030,S,241702,0,42.4474175,-82.9665867,G26016305002004,2034.032536,241704.5416,G26016305002004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500200,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5002, Wayne County, Michigan",351,331,20,197,0,21,10,0,23,15,20,34,25,8,0,0,0,0,24,8,9,0,0,0,0,0,0,0,0,0,42800,197,89,21,31,0,15,0,0,9,0,13,0,108,28,33,0,0,0,24,23,0,0,0,13.9,13.8,13.9,5.698005698,7
8,26,163,500300,1,2.62E+11,Block Group 1,G5030,S,405286,0,42.4403505,-82.9611613,G26016305003001,3018.428973,405285.5867,G26016305003001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500300,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5003, Wayne County, Michigan",273,195,78,53,5,12,2,12,5,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,53,15,0,0,0,7,3,0,0,5,0,0,38,10,4,12,5,2,0,0,5,0,0,20.2,25.8,17.1,28.57142857,8
9,26,163,500300,2,2.62E+11,Block Group 2,G5030,S,321801,0,42.436297,-82.9654805,G26016305003002,3366.591041,321801.6937,G26016305003002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500300,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5003, Wayne County, Michigan",404,295,109,73,23,0,0,0,7,3,0,10,9,12,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,43500,73,16,0,0,3,0,0,0,0,5,8,0,57,6,33,15,0,0,0,0,0,3,0,14.6,50,13.4,26.98019802,9
