GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH53E001
G26000100001001,2013-2017,,,Michigan,26,Alcona County,1,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1, Alcona County, Michigan",148000
G26000100001002,2013-2017,,,Michigan,26,Alcona County,1,,,100,2,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1, Alcona County, Michigan",170400
G26000109701001,2013-2017,,,Michigan,26,Alcona County,1,,,970100,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9701, Alcona County, Michigan",126400
G26000109701002,2013-2017,,,Michigan,26,Alcona County,1,,,970100,2,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9701, Alcona County, Michigan",95600
G26000109704001,2013-2017,,,Michigan,26,Alcona County,1,,,970400,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9704, Alcona County, Michigan",78000
G26000109704002,2013-2017,,,Michigan,26,Alcona County,1,,,970400,2,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9704, Alcona County, Michigan",94300
G26000109705001,2013-2017,,,Michigan,26,Alcona County,1,,,970500,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9705, Alcona County, Michigan",71300
G26000109705002,2013-2017,,,Michigan,26,Alcona County,1,,,970500,2,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9705, Alcona County, Michigan",97200
G26000109705003,2013-2017,,,Michigan,26,Alcona County,1,,,970500,3,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9705, Alcona County, Michigan",79800
G26000109706001,2013-2017,,,Michigan,26,Alcona County,1,,,970600,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9706, Alcona County, Michigan",140100
G26000109706002,2013-2017,,,Michigan,26,Alcona County,1,,,970600,2,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9706, Alcona County, Michigan",68700
G26000109900000,2013-2017,,,Michigan,26,Alcona County,1,,,990000,0,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 0, Census Tract 9900, Alcona County, Michigan",
G26000300001001,2013-2017,,,Michigan,26,Alger County,3,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1, Alger County, Michigan",173400
G26000300001002,2013-2017,,,Michigan,26,Alger County,3,,,100,2,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1, Alger County, Michigan",100000
G26000300001003,2013-2017,,,Michigan,26,Alger County,3,,,100,3,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 1, Alger County, Michigan",91300
G26000300002001,2013-2017,,,Michigan,26,Alger County,3,,,200,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2, Alger County, Michigan",150200
G26000300002002,2013-2017,,,Michigan,26,Alger County,3,,,200,2,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2, Alger County, Michigan",115600
G26000300003001,2013-2017,,,Michigan,26,Alger County,3,,,300,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3, Alger County, Michigan",115600
G26000300003002,2013-2017,,,Michigan,26,Alger County,3,,,300,2,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3, Alger County, Michigan",142900
G26000309900000,2013-2017,,,Michigan,26,Alger County,3,,,990000,0,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 0, Census Tract 9900, Alger County, Michigan",
G26000500302001,2013-2017,,,Michigan,26,Allegan County,5,,,30200,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 302, Allegan County, Michigan",279800
G26000500302002,2013-2017,,,Michigan,26,Allegan County,5,,,30200,2,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 302, Allegan County, Michigan",205200
G26000500303001,2013-2017,,,Michigan,26,Allegan County,5,,,30300,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 303, Allegan County, Michigan",200200
G26000500303002,2013-2017,,,Michigan,26,Allegan County,5,,,30300,2,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 303, Allegan County, Michigan",200300
G26000500303003,2013-2017,,,Michigan,26,Allegan County,5,,,30300,3,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 303, Allegan County, Michigan",182900
