GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH37E001,AH37E002,AH37E003,AH4HE001,AH4HE002,AH4HE003,AH4HE004,AH4HE005,AH4HE006,AH4HE007,AH4HE008,AH5XE001,AH5XE002,AH5XE003,AH5XE004,AH5XE005,AH5XE006,AH5XE007,AH5XE008,AH5XE009,AH5XE010,AH5XE011,NAME_M,AH37M001,AH37M002,AH37M003,AH4HM001,AH4HM002,AH4HM003,AH4HM004,AH4HM005,AH4HM006,AH4HM007,AH4HM008,AH5XM001,AH5XM002,AH5XM003,AH5XM004,AH5XM005,AH5XM006,AH5XM007,AH5XM008,AH5XM009,AH5XM010,AH5XM011
G2601630500100,2013-2017,,,Michigan,26,Wayne County,163,,,500100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5001, Wayne County, Michigan",1419,509,910,398,40,0,18,0,0,0,340,910,0,10,98,26,120,124,68,185,228,51,"Census Tract 5001, Wayne County, Michigan",132,121,166,118,44,10,29,10,10,10,112,166,10,16,73,31,80,77,49,109,95,49
G2601630500200,2013-2017,,,Michigan,26,Wayne County,163,,,500200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5002, Wayne County, Michigan",1002,465,537,265,65,0,39,15,0,0,146,537,7,23,106,50,87,82,46,25,65,46,"Census Tract 5002, Wayne County, Michigan",125,93,115,102,58,10,44,24,10,10,71,115,12,38,72,45,76,54,43,28,50,47
G2601630500300,2013-2017,,,Michigan,26,Wayne County,163,,,500300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5003, Wayne County, Michigan",799,273,526,467,25,0,13,0,0,0,429,526,0,31,46,24,107,41,46,64,118,49,"Census Tract 5003, Wayne County, Michigan",89,71,94,85,24,10,22,10,10,10,76,94,10,39,39,26,56,31,43,43,55,36
G2601630500400,2013-2017,,,Michigan,26,Wayne County,163,,,500400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5004, Wayne County, Michigan",420,180,240,451,17,0,19,9,0,0,406,240,0,0,20,34,0,33,21,31,84,17,"Census Tract 5004, Wayne County, Michigan",80,50,73,73,20,10,21,14,10,10,71,73,10,10,23,32,10,29,24,27,49,19
G2601630500500,2013-2017,,,Michigan,26,Wayne County,163,,,500500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5005, Wayne County, Michigan",600,281,319,384,20,0,0,0,0,0,364,319,0,0,28,27,58,8,46,30,80,42,"Census Tract 5005, Wayne County, Michigan",71,78,85,84,25,10,10,10,10,10,79,85,10,10,30,26,41,16,40,33,47,37
G2601630500600,2013-2017,,,Michigan,26,Wayne County,163,,,500600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5006, Wayne County, Michigan",948,331,617,623,65,0,0,0,0,0,558,617,0,39,36,78,84,24,67,56,187,46,"Census Tract 5006, Wayne County, Michigan",136,103,131,141,60,10,10,10,10,10,130,131,10,34,42,72,62,27,62,51,98,49
G2601630500700,2013-2017,,,Michigan,26,Wayne County,163,,,500700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5007, Wayne County, Michigan",1516,760,756,394,43,0,66,68,0,0,217,756,17,9,67,67,142,76,10,10,283,75,"Census Tract 5007, Wayne County, Michigan",140,141,145,108,48,10,58,62,10,10,93,145,19,15,69,49,84,59,16,16,119,56
G2601630500800,2013-2017,,,Michigan,26,Wayne County,163,,,500800,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5008, Wayne County, Michigan",1016,643,373,141,25,0,0,41,0,0,75,373,0,17,36,37,0,42,15,4,168,54,"Census Tract 5008, Wayne County, Michigan",75,90,79,66,35,10,10,39,10,10,51,79,10,26,36,41,10,41,25,8,61,44
G2601630500900,2013-2017,,,Michigan,26,Wayne County,163,,,500900,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5009, Wayne County, Michigan",1225,565,660,559,127,0,66,22,21,0,323,660,0,7,7,49,28,69,92,0,303,105,"Census Tract 5009, Wayne County, Michigan",158,119,140,143,91,10,61,29,35,10,118,140,10,11,12,45,44,57,73,10,124,76
G2601630501000,2013-2017,,,Michigan,26,Wayne County,163,,,501000,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5010, Wayne County, Michigan",926,496,430,394,51,0,47,0,0,0,296,430,0,0,0,64,83,60,35,26,118,44,"Census Tract 5010, Wayne County, Michigan",135,123,98,136,54,10,55,10,10,10,120,98,10,10,10,73,70,64,51,27,84,54
G2601630501100,2013-2017,,,Michigan,26,Wayne County,163,,,501100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5011, Wayne County, Michigan",1088,619,469,531,59,0,61,82,0,0,329,469,0,0,29,0,0,9,41,65,263,62,"Census Tract 5011, Wayne County, Michigan",131,129,131,114,54,10,56,73,10,10,102,131,10,10,45,10,10,15,51,57,111,61
G2601630501200,2013-2017,,,Michigan,26,Wayne County,163,,,501200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5012, Wayne County, Michigan",523,196,327,379,63,0,0,21,27,0,268,327,0,4,26,26,18,18,5,61,155,14,"Census Tract 5012, Wayne County, Michigan",74,52,77,74,36,10,10,24,23,10,68,77,10,7,19,21,20,19,7,35,63,18
G2601630501300,2013-2017,,,Michigan,26,Wayne County,163,,,501300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5013, Wayne County, Michigan",1147,606,541,416,35,0,0,16,0,0,365,541,0,0,56,20,17,37,19,45,289,58,"Census Tract 5013, Wayne County, Michigan",133,115,155,123,38,10,10,27,10,10,123,155,10,10,56,33,20,45,30,50,104,53
G2601630501400,2013-2017,,,Michigan,26,Wayne County,163,,,501400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5014, Wayne County, Michigan",1288,812,476,428,33,36,18,6,15,0,320,476,23,10,53,15,16,19,29,48,220,43,"Census Tract 5014, Wayne County, Michigan",107,133,120,90,37,42,30,9,23,10,76,120,33,18,52,25,26,27,42,44,104,41
