FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_Leng,Shape_Area,GISJOIN_1,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AHZTE001,AHZTE002,AHZTE003,AHZTE004,AHZTE005,AHZTE006,AHZTE007,AHZTE008,AHZTE009,AHZTE010,AHZTE011,AHZTE012,AHZTE013,AH04E001,AH04E002,AH04E003,AH04E004,AH04E005,AH04E006,AH04E007,AH04E008,AH04E009,AH04E010,AH04E011,AH04E012,AH04E013,AH04E014,AH04E015,AH04E016,AH04E017,AH04E018,AH04E019,AH04E020,AH04E021,AH04E022,AH04E023,AH04E024,AH04E025,AH1PE001,AH3PE001,AH3PE002,AH3PE003,AH3PE004,AH3PE005,AH3PE006,AH3PE007,Per_Les_30,Per_Les_20,Per_Les_10,Per_Les_15
0,26,163,500100,1,2.61635E+11,Block Group 1,G5030,S,474566,0,42.4482488,-82.9498174,G26016305001001,3266.908271,474566.0316,G26016305001001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500100,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5001, Wayne County, Michigan", , ,505,0,0,129,115,171,4,60,0,3,11,0,12,845,21,0,0,0,0,0,0,0,0,0,0,0,0,24,66,246,34,106,131,136,40,36,0,5,37288,934,625,625,530,95,0,309,82.97029703,48.31683168,0,25.54455446
1,26,163,500100,2,2.61635E+11,Block Group 2,G5030,S,290456,0,42.443593,-82.9487847,G26016305001002,2581.076257,290456.5681,G26016305001002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500100,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5001, Wayne County, Michigan", , ,239,0,0,13,77,57,0,82,0,0,10,0,0,404,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,117,26,51,114,51,30,10,0,0,26176,525,323,323,256,67,0,202,61.50627615,37.65690377,0,5.439330544
2,26,163,500100,3,2.61635E+11,Block Group 3,G5030,S,230980,0,42.4384492,-82.9535008,G26016305001003,1969.716928,230979.7104,G26016305001003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500100,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5001, Wayne County, Michigan", , ,380,0,16,45,139,150,0,12,0,18,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,26,13,152,51,10,0,0,0,32727,475,456,456,380,76,0,19,92.10526316,52.63157895,4.210526316,16.05263158
3,26,163,500100,4,2.61635E+11,Block Group 4,G5030,S,206376,0,42.4433528,-82.9535775,G26016305001004,1831.907741,206376.088,G26016305001004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500100,4, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5001, Wayne County, Michigan", , ,263,0,0,28,40,68,26,70,0,31,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,15,26,29,140,17,18,106,45,13,0,0,0,33641,476,317,317,275,42,0,159,61.59695817,25.85551331,0,10.64638783
4,26,163,500200,1,2.61635E+11,Block Group 1,G5030,S,243420,0,42.4481987,-82.959887,G26016305002001,2013.766844,243418.1098,G26016305002001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500200,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5002, Wayne County, Michigan", , ,269,0,0,81,20,33,51,29,6,13,36,0,0,489,27,0,0,0,0,0,0,0,0,0,0,0,0,33,16,136,0,27,127,70,37,0,0,16,47063,539,363,363,269,94,0,176,68.7732342,37.5464684,0,30.11152416
5,26,163,500200,2,2.61635E+11,Block Group 2,G5030,S,243113,0,42.4445962,-82.959735,G26016305002002,2012.086224,243113.3051,G26016305002002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500200,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5002, Wayne County, Michigan", , ,262,0,10,27,86,83,12,33,0,0,11,0,0,386,0,0,0,0,0,0,0,0,0,0,0,8,0,38,0,97,14,61,54,52,62,0,0,0,65977,412,345,345,272,73,0,67,83.20610687,46.94656489,3.816793893,14.1221374
6,26,163,500200,3,2.61635E+11,Block Group 3,G5030,S,211543,0,42.4439389,-82.9676482,G26016305002003,2039.868578,211542.5115,G26016305002003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500200,3, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5002, Wayne County, Michigan", , ,360,0,12,83,31,164,19,18,10,11,9,3,0,450,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,267,34,18,17,63,29,9,9,0,44427,579,439,439,360,79,0,140,85.83333333,35,3.333333333,26.38888889
7,26,163,500200,4,2.61635E+11,Block Group 4,G5030,S,241702,0,42.4474175,-82.9665867,G26016305002004,2034.032536,241704.5416,G26016305002004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500200,4, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5002, Wayne County, Michigan", , ,427,0,0,100,119,65,24,86,22,11,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,12,23,38,8,150,12,39,123,120,61,0,0,0,55186,690,458,458,427,31,0,232,72.13114754,51.28805621,0,23.41920375
8,26,163,500300,1,2.61635E+11,Block Group 1,G5030,S,405286,0,42.4403505,-82.9611613,G26016305003001,3018.428973,405285.5867,G26016305003001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500300,1, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5003, Wayne County, Michigan", , ,226,7,10,47,24,22,42,12,25,5,32,0,0,276,0,0,0,0,0,0,0,0,0,5,0,14,4,5,0,125,1,8,87,17,10,0,0,0,31780,375,288,288,250,38,0,87,67.25663717,38.9380531,7.522123894,28.31858407
9,26,163,500300,2,2.61635E+11,Block Group 2,G5030,S,321801,0,42.436297,-82.9654805,G26016305003002,3366.591041,321801.6937,G26016305003002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500300,2, , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5003, Wayne County, Michigan", , ,310,31,28,54,76,28,56,23,5,4,5,0,0,483,13,0,0,0,0,0,0,2,0,12,0,12,12,19,4,248,23,44,49,39,5,1,0,0,35221,608,422,422,323,99,0,186,88.06451613,60.96774194,19.03225806,36.4516129
