GISJOIN,Per_Les_20,Per_Les_10,Per_Les_15
G26016305001001,48.31683168,0,25.54455446
G26016305001002,37.65690377,0,5.439330544
G26016305001003,52.63157895,4.210526316,16.05263158
G26016305001004,25.85551331,0,10.64638783
G26016305002001,37.5464684,0,30.11152416
G26016305002002,46.94656489,3.816793893,14.1221374
G26016305002003,35,3.333333333,26.38888889
G26016305002004,51.28805621,0,23.41920375
G26016305003001,38.9380531,7.522123894,28.31858407
G26016305003002,60.96774194,19.03225806,36.4516129
G26016305003003,33.75796178,0,23.56687898
G26016305003004,21.21212121,0,18.18181818
G26016305004001,100,15.625,68.75
G26016305004002,62.96296296,24.69135802,62.96296296
G26016305004003,51.45631068,4.854368932,30.09708738
G26016305004004,47.12643678,5.747126437,16.66666667
G26016305005001,34.39153439,5.291005291,22.48677249
G26016305005002,39.74358974,0,39.74358974
G26016305005003,71.01449275,0,26.08695652
G26016305005004,32.72727273,0,32.72727273
G26016305006001,38.94009217,9.216589862,22.11981567
G26016305006002,53.28467153,0,13.86861314
G26016305006003,45.74468085,20.21276596,20.21276596
G26016305006004,44.94949495,0,27.27272727
G26016305006005,57.14285714,6.722689076,23.52941176
G26016305007001,27.69230769,3.461538462,5.769230769
G26016305007002,39.89218329,2.156334232,15.3638814
G26016305007003,25.95744681,1.70212766,15.53191489
G26016305007004,17.5,7.045454545,15.22727273
G26016305008001,40.38155803,6.518282989,20.50874404
G26016305008002,23.45454545,0,18.36363636
G26016305009001,52.66666667,27.77777778,34
G26016305009002,16.66666667,12.16216216,16.66666667
G26016305009003,9.852216749,3.9408867,3.9408867
G26016305009004,63.28125,20.3125,20.3125
G26016305010001,56.60377358,6.037735849,29.43396226
G26016305010002,0,0,0
G26016305010003,20.1814059,9.523809524,17.46031746
G26016305011001,25.68807339,0,25.68807339
G26016305011002,72.16494845,0,0
G26016305011003,27.27272727,1.136363636,1.136363636
G26016305011004,58.38150289,23.69942197,43.35260116
G26016305011005,27.06766917,3.007518797,3.007518797
G26016305012001,19.4092827,0,7.172995781
G26016305012002,37.11340206,7.216494845,7.216494845
G26016305013001,71.68141593,0,21.23893805
G26016305013002,25.92592593,0,25.92592593
G26016305013003,42.18009479,13.74407583,36.01895735
G26016305013004,0,0,0
G26016305013005,29.13580247,0,9.87654321
G26016305014001,24.88888889,0.444444444,10.22222222
G26016305014002,17.00507614,3.045685279,7.868020305
G26016305014003,21.9858156,0,17.73049645
G26016305014004,30.67915691,7.494145199,12.88056206
G26016305015001,13.61502347,0,0
G26016305015002,47.94520548,36.30136986,47.94520548
G26016305015003,40.64171123,19.78609626,23.52941176
G26016305015004,34.61538462,0,23.07692308
G26016305015005,24.96307238,8.271787297,17.28212703
G26016305016001,32.80839895,1.049868766,13.64829396
G26016305016002,27.36842105,12.89473684,25.52631579
G26016305017001,49.56521739,22.17391304,22.17391304
G26016305017002,30.99415205,11.40350877,19.88304094
G26016305018001,11.25,3.75,3.75
G26016305018002,8.495145631,0,5.097087379
G26016305018003,25.33589251,2.687140115,2.687140115
G26016305018004,5.434782609,0.905797101,0.905797101
G26016305019001,40.64171123,7.486631016,24.06417112
G26016305019002,21.24542125,9.89010989,9.89010989
G26016305019003,19.58041958,3.146853147,5.244755245
G26016305019004,32.0855615,0,16.04278075
G26016305020001,26.30480167,12.7348643,17.32776618
G26016305020002,51.86335404,17.08074534,35.0931677
G26016305031001,35.05535055,2.21402214,17.34317343
G26016305031002,26.96629213,0,17.22846442
G26016305031003,50.79365079,0,21.9047619
G26016305032001,63.74172185,3.80794702,30.62913907
G26016305032002,41.30434783,9.239130435,31.52173913
G26016305032003,51.2295082,7.37704918,20.08196721
G26016305033001,42.54807692,0,31.49038462
G26016305033002,39.52991453,0,8.547008547
G26016305033003,28.17551963,0,20.09237875
G26016305033004,42.34234234,0,32.43243243
G26016305034001,36.25,7.5,26.875
G26016305034002,59.50920245,0,23.31288344
G26016305035001,45.78313253,0,35.34136546
G26016305035002,37.77777778,0,0
G26016305035003,11.11111111,0,0
G26016305035004,41.86046512,25.58139535,25.58139535
G26016305035005,23.71794872,0,0
G26016305036001,32.40740741,0,0
G26016305036002,28.67132867,0,2.097902098
G26016305036003,48.15789474,4.210526316,16.05263158
G26016305039001,27.04918033,0,0
G26016305039002,57.14285714,0,36.73469388
G26016305039003,29.21348315,1.573033708,11.23595506
G26016305040001,26.61870504,0,14.38848921
G26016305040002,41.02564103,9.743589744,20.51282051
G26016305041001,68.18181818,9.090909091,42.42424242
G26016305041002,51.96078431,14.70588235,20.58823529
G26016305041003,17.42738589,2.904564315,7.883817427
G26016305042001,21.53110048,0,8.612440191
G26016305042002,20.14925373,0,1.492537313
G26016305042003,1.550387597,0,0
G26016305042004,0,0,0
G26016305043001,42.61363636,13.63636364,25
G26016305043002,45.97701149,9.770114943,24.13793103
G26016305043003,22.3495702,3.724928367,9.169054441
G26016305044001,48.30508475,4.237288136,16.94915254
G26016305044002,12.10191083,2.547770701,5.732484076
G26016305044003,43.63636364,0,9.090909091
G26016305047001,45.45454545,0,30.06993007
G26016305047002,54.72972973,13.51351351,31.08108108
G26016305047003,31.94444444,0,31.94444444
G26016305048001,48.38709677,0,15.05376344
G26016305048002,17.25888325,1.52284264,8.629441624
G26016305049001,55.97826087,11.95652174,28.80434783
G26016305049002,33.72093023,0,20.93023256
G26016305049003,24.33460076,2.281368821,11.97718631
G26016305049004,33.48017621,0,0
G26016305050001,34.67741935,7.258064516,19.35483871
G26016305050002,38.88888889,0,0
G26016305051001,31.35888502,0,28.57142857
G26016305051002,13.52941176,2.941176471,8.235294118
G26016305051003,32.57918552,4.524886878,10.85972851
G26016305051004,0,0,0
G26016305051005,32.63157895,32.63157895,32.63157895
G26016305052001,34.02985075,0,6.567164179
G26016305052002,43.78378378,5.405405405,19.45945946
G26016305052003,44.30379747,17.08860759,39.24050633
G26016305052004,37.05357143,4.464285714,18.30357143
G26016305054001,62.86549708,0,27.48538012
G26016305054002,85.26315789,0,14.73684211
G26016305054003,17.27272727,0,17.27272727
G26016305054004,42.98642534,12.21719457,34.84162896
G26016305055001,29.78723404,2.127659574,22.87234043
G26016305055002,27.52293578,0,18.34862385
G26016305061001,17.94310722,1.094091904,4.376367615
G26016305061002,26.28865979,12.37113402,12.37113402
G26016305062001,23.4741784,7.511737089,13.61502347
G26016305062002,16.90647482,3.237410072,10.43165468
G26016305063001,23.36448598,0,0
G26016305063002,44.28571429,4.761904762,7.142857143
G26016305063003,27.59856631,0,9.318996416
G26016305064001,45.11627907,24.65116279,39.06976744
G26016305064002,22.12389381,5.309734513,11.50442478
G26016305064003,0,0,0
G26016305065001,45.74468085,3.191489362,38.29787234
G26016305065002,36.68341709,0,36.68341709
G26016305065003,43.23308271,0,1.879699248
G26016305066001,34.64052288,0,34.64052288
G26016305066002,28.46003899,10.33138402,10.33138402
G26016305066003,7.5,7.5,7.5
G26016305066004,30.37974684,0,16.4556962
G26016305067001,29.73977695,2.230483271,2.230483271
G26016305068001,42.54385965,8.771929825,13.59649123
G26016305068002,44.70284238,12.14470284,34.10852713
G26016305068003,33.33333333,0,16.36363636
G26016305068004,24,12,24
G26016305069001,55.45454545,17.27272727,17.27272727
G26016305069002,13.1147541,13.1147541,13.1147541
G26016305069003,0,0,0
G26016305069004,5.963302752,0,0
G26016305069005,16.78321678,0,11.88811189
G26016305070001,12,4.888888889,4.888888889
G26016305070002,16.66666667,0,16.66666667
G26016305070003,34.89932886,7.382550336,7.382550336
G26016305071001,37.73584906,0,20.75471698
G26016305071002,25.33333333,3.555555556,8
G26016305071003,25.2559727,0,25.2559727
G26016305071004,4.838709677,0,4.838709677
G26016305072001,74.28571429,41.42857143,46.42857143
G26016305072002,25.18518519,7.407407407,10.37037037
G26016305073001,40.26666667,8,23.73333333
G26016305073002,59.22330097,13.59223301,13.59223301
G26016305073003,31.63841808,0,10.73446328
G26016305074001,33.76623377,0,0
G26016305074002,44.87951807,8.13253012,13.55421687
G26016305074003,52.80898876,4.494382022,34.26966292
G26016305074004,70.93023256,0,39.53488372
G26016305075001,35.18518519,0,13.42592593
G26016305075002,26.40449438,0,15.16853933
G26016305075003,22.22222222,0,0
G26016305078001,79.50819672,24.59016393,24.59016393
G26016305078002,76.19047619,0,0
G26016305079001,57.55395683,35.97122302,46.04316547
G26016305079002,38.7755102,9.523809524,19.04761905
G26016305079003,44,0,8
G26016305079004,43.10344828,32.75862069,32.75862069
G26016305080001,20.96774194,0,8.064516129
G26016305080002,37.94466403,16.99604743,25.6916996
G26016305081001,65.74074074,0,65.74074074
G26016305081002,18.57142857,0,0
G26016305081003,20,0,20
G26016305081004,100,0,0
G26016305081005,32,0,32
G26016305104001,38.0952381,0,15.87301587
G26016305104002,0,0,0
G26016305104003,4.347826087,0,0
G26016305105001,26.5625,0,0
G26016305105002,20.2247191,2.808988764,3.651685393
G26016305105003,45.28301887,45.28301887,45.28301887
G26016305105004,11.87648456,0,3.087885986
G26016305106001,41.33333333,12.66666667,24
G26016305106002,30.13888889,2.638888889,20.27777778
G26016305106003,40.29451138,4.551539491,16.86746988
G26016305107001,17.28971963,2.803738318,12.61682243
G26016305107002,56.31768953,14.44043321,29.60288809
G26016305110001,64.70588235,0,44.11764706
G26016305110002,42.22222222,0,8.888888889
G26016305110003,24.59016393,0,24.59016393
G26016305110004,48.48484848,0,18.68686869
G26016305112001,36.86006826,13.65187713,21.16040956
G26016305112002,62.5,0,41.66666667
G26016305113001,35.63829787,3.191489362,22.34042553
G26016305113002,11.02941176,4.411764706,11.02941176
G26016305113003,31.53846154,9.230769231,23.07692308
G26016305114001,43.63636364,8.484848485,8.484848485
G26016305114002,57.30337079,0,10.11235955
G26016305114003,18.18181818,0,18.18181818
G26016305114004,81.39534884,11.62790698,11.62790698
G26016305114005,23.07692308,4.895104895,12.23776224
G26016305119001,67.82841823,13.40482574,40.48257373
G26016305119002,51.78571429,16.96428571,39.73214286
G26016305121001,0,0,0
G26016305121002,14.58333333,0,0
G26016305121003,19.12350598,0,10.35856574
G26016305121004,6.796116505,0,0
G26016305121005,27.62430939,0,16.02209945
G26016305122001,25.44642857,4.910714286,6.696428571
G26016305122002,8.108108108,8.108108108,8.108108108
G26016305123001,45.08196721,0,9.016393443
G26016305123002,67.54385965,5.263157895,14.03508772
G26016305124001,72.03389831,21.18644068,29.66101695
G26016305124002,45.86466165,25.56390977,34.58646617
