GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AHZTE001,AHZTE002,AHZTE003,AHZTE004,AHZTE005,AHZTE006,AHZTE007,AHZTE008,AHZTE009,AHZTE010,AHZTE011,AHZTE012,AHZTE013,AH04E001,AH04E002,AH04E003,AH04E004,AH04E005,AH04E006,AH04E007,AH04E008,AH04E009,AH04E010,AH04E011,AH04E012,AH04E013,AH04E014,AH04E015,AH04E016,AH04E017,AH04E018,AH04E019,AH04E020,AH04E021,AH04E022,AH04E023,AH04E024,AH04E025,AH1PE001,AH3PE001,AH3PE002,AH3PE003,AH3PE004,AH3PE005,AH3PE006,AH3PE007
G26000100001001,2013-2017,,,Michigan,26,Alcona County,1,,,100,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1, Alcona County, Michigan",,,138,15,11,8,33,9,7,16,3,16,9,5,6,613,4,0,0,0,0,0,0,0,0,0,0,0,3,9,3,156,13,57,105,77,118,26,36,6,54583,625,185,185,182,3,0,440
G26000100001002,2013-2017,,,Michigan,26,Alcona County,1,,,100,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1, Alcona County, Michigan",,,260,18,17,5,27,65,25,38,23,24,5,8,5,887,2,0,0,0,0,4,0,0,0,0,9,21,27,19,23,264,26,79,122,87,114,83,7,0,41389,940,313,308,274,34,5,627
G26000109701001,2013-2017,,,Michigan,26,Alcona County,1,,,970100,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9701, Alcona County, Michigan",,,459,42,22,49,90,56,31,111,17,12,22,3,4,977,13,0,0,0,0,0,0,0,0,2,6,7,9,20,9,335,41,101,177,111,99,17,24,6,48929,1058,507,507,485,22,0,551
G26000109701002,2013-2017,,,Michigan,26,Alcona County,1,,,970100,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9701, Alcona County, Michigan",,,335,26,55,89,26,39,12,35,10,7,20,6,10,1024,24,0,0,0,0,0,0,0,4,0,29,12,7,57,18,237,38,82,237,85,113,64,11,6,35170,1089,381,381,347,34,0,708
G26000109704001,2013-2017,,,Michigan,26,Alcona County,1,,,970400,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9704, Alcona County, Michigan",,,502,77,77,59,42,28,24,81,17,21,46,13,17,1039,21,0,0,0,0,0,0,0,3,8,23,30,33,32,17,366,48,84,189,72,58,38,12,5,35231,1226,600,600,522,78,0,626
G26000109704002,2013-2017,,,Michigan,26,Alcona County,1,,,970400,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9704, Alcona County, Michigan",,,474,15,25,52,143,69,24,59,18,10,57,2,0,1076,10,0,0,0,0,0,0,0,0,11,10,18,19,39,17,453,92,69,140,92,78,25,0,3,37262,1168,565,565,513,52,0,603
G26000109705001,2013-2017,,,Michigan,26,Alcona County,1,,,970500,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9705, Alcona County, Michigan",,,187,15,21,0,9,13,12,44,9,8,22,25,9,515,9,0,0,0,0,0,0,0,0,5,7,6,20,18,15,215,39,31,66,43,27,14,0,0,32031,549,218,218,211,7,0,331
G26000109705002,2013-2017,,,Michigan,26,Alcona County,1,,,970500,2,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9705, Alcona County, Michigan",,,156,23,16,3,10,27,22,24,0,8,14,2,7,515,1,0,0,0,0,0,0,0,0,0,10,0,15,12,4,226,29,23,93,51,38,11,1,1,35673,541,201,201,170,31,0,340
G26000109705003,2013-2017,,,Michigan,26,Alcona County,1,,,970500,3,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9705, Alcona County, Michigan",,,158,11,12,16,1,22,32,46,3,6,5,4,0,654,25,0,5,0,0,0,3,5,0,0,9,6,17,22,14,228,59,62,100,33,52,14,0,0,35463,701,200,200,178,22,0,501
G26000109706001,2013-2017,,,Michigan,26,Alcona County,1,,,970600,1,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9706, Alcona County, Michigan",,,188,0,17,29,74,19,10,12,11,0,10,3,3,689,2,0,0,0,0,0,0,0,0,0,9,3,10,34,3,210,35,76,127,49,100,15,6,10,44375,749,226,226,210,16,0,523
