GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AHZTM001,AHZTM002,AHZTM003,AHZTM004,AHZTM005,AHZTM006,AHZTM007,AHZTM008,AHZTM009,AHZTM010,AHZTM011,AHZTM012,AHZTM013,AH04M001,AH04M002,AH04M003,AH04M004,AH04M005,AH04M006,AH04M007,AH04M008,AH04M009,AH04M010,AH04M011,AH04M012,AH04M013,AH04M014,AH04M015,AH04M016,AH04M017,AH04M018,AH04M019,AH04M020,AH04M021,AH04M022,AH04M023,AH04M024,AH04M025,AH1PM001,AH3PM001,AH3PM002,AH3PM003,AH3PM004,AH3PM005,AH3PM006,AH3PM007
"G26000100001001","2013-2017",,,"Michigan","26","Alcona County","001",,,"000100","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1, Alcona County, Michigan",,,47,15,10,8,22,7,7,14,4,18,8,6,6,79,5,10,10,10,10,10,10,10,10,10,10,10,4,8,4,42,9,21,34,39,38,13,20,7,6725,81,53,53,53,4,10,53
"G26000100001002","2013-2017",,,"Michigan","26","Alcona County","001",,,"000100","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1, Alcona County, Michigan",,,60,12,19,7,13,29,13,27,20,17,6,9,7,77,4,10,10,10,10,6,10,10,10,10,8,17,15,12,13,44,21,26,28,31,37,30,6,10,6709,85,60,60,60,24,7,71
"G26000109701001","2013-2017",,,"Michigan","26","Alcona County","001",,,"970100","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9701, Alcona County, Michigan",,,80,21,13,19,33,24,22,35,18,7,13,4,4,89,9,10,10,10,10,10,10,10,10,3,6,9,10,21,6,48,22,25,32,34,32,10,28,7,4547,98,80,80,81,13,10,71
"G26000109701002","2013-2017",,,"Michigan","26","Alcona County","001",,,"970100","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9701, Alcona County, Michigan",,,49,17,25,28,13,12,9,22,12,6,11,6,8,81,21,10,10,10,10,10,10,10,4,10,24,8,6,34,10,51,17,21,50,23,28,21,8,7,4177,88,52,52,50,18,10,75
"G26000109704001","2013-2017",,,"Michigan","26","Alcona County","001",,,"970400","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9704, Alcona County, Michigan",,,69,23,23,23,22,19,20,36,14,19,27,8,13,98,14,10,10,10,10,10,10,10,4,6,19,17,22,19,10,65,17,27,36,25,24,20,8,5,5072,113,68,68,70,32,10,85
"G26000109704002","2013-2017",,,"Michigan","26","Alcona County","001",,,"970400","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9704, Alcona County, Michigan",,,73,12,14,26,45,31,12,17,13,8,23,3,10,88,7,10,10,10,10,10,10,10,10,17,8,14,15,23,10,54,29,22,31,25,23,15,10,4,6271,97,78,78,74,24,10,68
"G26000109705001","2013-2017",,,"Michigan","26","Alcona County","001",,,"970500","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9705, Alcona County, Michigan",,,44,9,18,10,8,16,8,30,9,9,16,20,10,62,8,10,10,10,10,10,10,10,10,5,7,7,10,11,9,43,22,15,27,21,13,10,10,10,6279,69,46,46,46,6,10,52
"G26000109705002","2013-2017",,,"Michigan","26","Alcona County","001",,,"970500","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9705, Alcona County, Michigan",,,46,33,16,3,7,19,14,17,10,8,14,3,6,79,3,10,10,10,10,10,10,10,10,10,13,10,9,8,4,48,15,14,31,22,20,8,2,3,4323,83,55,55,49,17,10,54
"G26000109705003","2013-2017",,,"Michigan","26","Alcona County","001",,,"970500","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9705, Alcona County, Michigan",,,39,9,10,16,2,12,18,20,4,10,8,5,10,77,21,10,5,10,10,10,4,5,10,10,8,6,10,11,8,50,20,20,30,18,20,10,10,10,2841,84,45,45,45,12,10,66
"G26000109706001","2013-2017",,,"Michigan","26","Alcona County","001",,,"970600","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9706, Alcona County, Michigan",,,69,10,13,20,61,15,8,9,12,10,8,4,6,89,4,10,10,10,10,10,10,10,10,10,8,4,10,23,4,50,19,26,32,17,27,9,6,8,8781,114,79,79,70,14,10,80
"G26000109706002","2013-2017",,,"Michigan","26","Alcona County","001",,,"970600","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9706, Alcona County, Michigan",,,50,10,10,18,29,32,19,14,7,5,10,8,10,85,10,10,10,10,10,10,10,10,10,10,8,5,14,9,11,43,41,16,34,27,28,5,10,10,6226,102,74,74,53,33,10,52
"G26000109900000","2013-2017",,,"Michigan","26","Alcona County","001",,,"990000","0",,,,,,,,,,,,,,,,,,,,,,,"Block Group 0, Census Tract 9900, Alcona County, Michigan",,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10
"G26000300001001","2013-2017",,,"Michigan","26","Alger County","003",,,"000100","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1, Alger County, Michigan",,,79,18,27,39,28,10,20,3,10,10,10,30,10,145,49,10,10,10,10,10,10,10,10,10,10,15,28,15,14,64,20,44,44,31,42,14,7,10,9092,158,83,83,80,10,10,121
"G26000300001002","2013-2017",,,"Michigan","26","Alger County","003",,,"000100","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1, Alger County, Michigan",,,131,33,97,72,23,26,11,8,10,10,8,6,20,162,4,10,10,10,10,10,10,10,9,21,11,10,13,39,8,125,76,26,63,32,49,21,10,10,5260,173,138,138,141,17,10,130
"G26000300001003","2013-2017",,,"Michigan","26","Alger County","003",,,"000100","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 1, Alger County, Michigan",,,117,87,41,43,7,28,7,10,10,10,17,31,7,174,53,10,10,10,10,10,10,10,10,10,11,10,32,20,7,74,34,39,43,96,51,33,11,9,15229,174,116,116,116,8,10,107
"G26000300002001","2013-2017",,,"Michigan","26","Alger County","003",,,"000200","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2, Alger County, Michigan",,,73,6,22,31,14,18,41,24,19,23,24,7,26,134,10,10,10,10,7,10,10,10,52,4,13,6,16,15,4,82,15,27,51,52,49,20,6,14,7999,139,87,87,83,18,10,104
"G26000300002002","2013-2017",,,"Michigan","26","Alger County","003",,,"000200","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2, Alger County, Michigan",,,93,32,59,49,35,12,10,17,10,10,31,10,10,142,4,10,10,10,10,10,10,10,10,10,5,38,13,8,8,66,40,35,57,46,56,37,5,13,10601,146,121,121,97,70,10,79
"G26000300003001","2013-2017",,,"Michigan","26","Alger County","003",,,"000300","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3, Alger County, Michigan",,,78,4,29,22,16,29,8,46,8,28,31,12,4,114,10,10,10,10,10,10,10,10,10,10,18,7,26,23,4,80,18,26,43,27,32,16,10,5,8622,138,93,93,86,33,10,96
"G26000300003002","2013-2017",,,"Michigan","26","Alger County","003",,,"000300","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3, Alger County, Michigan",,,65,25,17,15,23,23,17,21,7,7,18,7,7,173,15,10,10,10,10,10,10,10,13,3,24,22,21,41,23,62,100,23,33,29,32,31,10,10,12327,204,78,78,68,26,10,179
"G26000309900000","2013-2017",,,"Michigan","26","Alger County","003",,,"990000","0",,,,,,,,,,,,,,,,,,,,,,,"Block Group 0, Census Tract 9900, Alger County, Michigan",,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10
"G26000500302001","2013-2017",,,"Michigan","26","Allegan County","005",,,"030200","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 302, Allegan County, Michigan",,,164,15,56,94,75,70,36,83,16,23,55,21,13,168,10,10,10,10,10,10,10,10,10,10,17,10,10,35,10,78,28,40,67,72,142,88,51,30,18046,189,174,174,169,42,10,126
"G26000500302002","2013-2017",,,"Michigan","26","Allegan County","005",,,"030200","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 302, Allegan County, Michigan",,,106,24,54,59,65,33,35,10,11,10,20,10,10,104,10,10,10,10,10,10,10,10,10,10,10,10,9,33,10,64,20,36,35,41,63,66,10,10,11759,112,107,107,107,10,10,79
"G26000500303001","2013-2017",,,"Michigan","26","Allegan County","005",,,"030300","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 303, Allegan County, Michigan",,,89,9,42,31,63,64,19,25,9,11,18,12,6,99,10,10,10,10,10,10,10,10,10,10,13,12,22,16,8,90,12,33,51,49,41,19,10,10,17795,126,89,89,88,7,10,100
"G26000500303002","2013-2017",,,"Michigan","26","Allegan County","005",,,"030300","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 303, Allegan County, Michigan",,,90,20,22,47,53,59,26,28,15,41,22,7,10,92,10,10,10,10,10,9,10,10,10,10,13,10,9,13,16,79,23,27,52,31,54,19,10,24,5822,118,97,97,97,10,10,62
"G26000500303003","2013-2017",,,"Michigan","26","Allegan County","005",,,"030300","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 303, Allegan County, Michigan",,,211,70,46,53,56,168,64,89,81,10,21,33,80,197,22,10,10,10,10,10,10,10,10,10,10,10,10,31,50,171,95,38,113,92,74,38,10,10,17110,193,206,206,209,27,10,148
"G26000500303004","2013-2017",,,"Michigan","26","Allegan County","005",,,"030300","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 303, Allegan County, Michigan",,,221,10,53,73,61,129,98,94,22,86,25,33,58,201,31,10,10,10,10,10,10,10,10,10,31,26,10,43,37,171,76,38,152,56,129,38,10,10,29139,224,219,219,223,46,10,195
"G26000500304011","2013-2017",,,"Michigan","26","Allegan County","005",,,"030401","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 304.01, Allegan County, Michigan",,,287,10,87,68,116,92,60,169,10,10,32,54,33,281,46,10,10,10,10,10,10,10,10,10,73,10,53,32,10,231,94,83,48,72,116,51,10,10,26017,336,287,287,287,10,10,162
"G26000500304012","2013-2017",,,"Michigan","26","Allegan County","005",,,"030401","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 304.01, Allegan County, Michigan",,,355,64,81,96,166,153,128,188,132,100,50,10,36,284,19,10,10,10,10,10,10,10,10,10,10,10,25,10,10,281,56,89,134,125,142,79,10,21,5362,358,363,363,372,64,10,240
